Advanced Custom Fields|acf-field|advanced-custom-fields
Advanced Custom Fields|acf-field-group|advanced-custom-fields
Astra Pro|astra_adv_header|astra-addon
Astra Pro|astra-advanced-hook|astra-addon
ATUM Inventory Management for WooCommerce|atum_supplier|atum-stock-manager-for-woocommerce
ATUM Inventory Management for WooCommerce|atum_purchase_order|atum-stock-manager-for-woocommerce
BNE Flyout|bne_flyout|bne-flyout
Elementor|elementor_icons|elementor
Elementor|elementor_library|elementor
Elementor Pro|elementor-hf|elementor
Follow-Up Emails|follow_up_email|woocommerce-follow-up-emails
GDPR Cookie Consent|cookielawinfo|cookie-law-info
GenerateBlocks|gp_elements|generateblocks
Germanized for WooCommerce Pro|document_template|woocommerce-germanized
Give Donation|give_forms|give
Give Donation|give_payment|give
Groups Newsletters|campaign|groups-newsletters
Groups Newsletters|story|groups-newsletters
Happyforms|happyform|happyforms-upgrade
Happyforms|happyforms-message|happyforms-upgrade
iThemes Security|itsec-dash-card|ithemes-security
iThemes Security|itsec-dashboard|ithemes-security
Kadence Conversions - Popups, slide-ins|kadence_conversions|kadence-conversions
Lazy Blocks|lazyblocks|lazy-blocks
Lottery for WooCommerce|lty_lottery_ticket|lottery-for-woocommerce
MailPoet|mailpoet_page|mailpoet
MC4WP|mc4wp-form|mailchimp-for-wp
Media Cleaner|wmpc-trash|media-cleaner
Meta Box AIO|mb-relationship|meta-box-aio
Meta Box AIO|mb-taxonomy|meta-box-aio
Meta Box AIO|mb-post-type|meta-box-aio
Meta Box AIO|meta-box|meta-box-aio
MP3 Audio Player by Sonaar|sr_playlist|sonaar-music
Ninja Tables|ninja-table|ninja-tables
Oxygen|ct_template|oxygen
Page Builder Framework Premium Addon|wpbf_hooks|wpbf-premium
Popup Maker|popup_theme|popup-maker
Popup Maker|popup|popup-maker
Porto Theme - Functionality|porto_builder|porto-functionality
Post SMTP|postman_sent_mail|post-smtp
Schema|schema|schema
SEOPress|seopress_404|wp-seopress
SEOPress|seopress_schemas|wp-seopress
SiteGround Optimizer|sg_optimizer_jobs|sg-cachepress
Stachethemes Event Calendar|stec_cron|stachethemes_event_calendar
Stachethemes Event Calendar|stevent|stachethemes_event_calendar
Stachethemes Event Calendar|stec_calendar|stachethemes_event_calendar
The Events Calendar|tribe_organizer|the-events-calendar
The Events Calendar|tribe_venue|the-events-calendar
The Events Calendar|tribe-ea-record|the-events-calendar
The Plus Addons for Elementor|plus-mega-menu|theplus_elementor_addon
WooCommerce Linked Variations by Iconic|cpt_iconic_wlv|iconic-woo-linked-variations
WooCommerce Tab Manager|wc_product_tab|woocommerce-tab-manager
WP Courseware|course_unit|wp-courseware
WP Extended Search|is_search_form|wp-extended-search
WP Table Builder|wptb-tables|wp-table-builder
WPCodeBox|wpcb_snippet_folder|wpcodebox
WPCodeBox|wpcb_snippet_post|wpcodebox
WPForms Lite|wpforms|wpforms
YITH WooCommerce Dynamic Pricing and Discounts Premium|ywdpd_discount|init
Zion Builder|zion_template|zionbuilder
